Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
eps_hard_reset,'',gssb_burn,'',fp_del_cmd,'4455935363243989377 mduWUeQ -7372639950322331108 -7721414335378610539 4985960476358420788 2539960661994308850',eps_get_config,'',eps_hard_reset,'',0,7.04857325553894,444020.0,10932.0
drp_ebf,'9040621305682704111',gssb_fss_get_sun,'',rw_set_speed,'-270249664488986272028679679905892667202 uc#*',com_send_data,'13790430862255319950',drp_get_vars,'',0,7.281854867935181,444020.0,10660.0
com_update_status,'',com_debug,'',tm_send_status,'15954727216133739997',com_set_config,'-1123203840 864993581',gssb_get_model,'',-6,6.69942831993103,444020.0,10932.0
tm_parse_status,'',com_reset_wdt,'2043507296139113529',obc_set_pwm_freq,'-125990969758599675082483354883129988510 3580033415352311153',set_state,'154046910009082083532888843961093400640 -7130819423796088264 13755562248552417204',obc_pwm_pwr,'4545308031390753001',0,6.970942974090576,444020.0,10584.0
gssb_set_addr,'-1984423956438876164',obc_reset_wdt,'',obc_debug,'o',eps_set_heater,'-2047979049 -18862593502693986202141477039788663951',fp_set_cmd_dt,'450104295 2369899751644515301 -1825745521 ?ptuH=^;h| 4552759190595867508',-6,6.53134560585022,444020.0,10800.0
gssb_pwr,'287239533375707780 2272834603039210564',obc_prop_tle,'-717419141',com_set_config,'-1804087846 223111844176450039076604481309876927133',obc_get_tle,'',obc_prop_tle,'-181894173302592928',0,7.228949785232544,444020.0,10896.0
gssb_get_burn_config,'',rw_get_speed,'',tm_parse_status,'',obc_get_mem,'',eps_hard_reset,'',0,6.9896581172943115,444020.0,10924.0
gssb_set_burn_config,'1458728480791855067 8421035911706780491 251793827050570516824726937789107453227 1910456177045775401 -1163454583 ^V 187858220659764991257466642787209926221',obc_reset_wdt,'',tm_send_last,'-2116903860 -9017982968698211310',gssb_fss_commit_config,'',fp_test_params,'-221443952117395672654291330611910154178 2911919134478858647 2138477096',0,7.130615472793579,444020.0,10720.0
gssb_set_burn_config,'467288556 261652720080260232810116817468613164892 7781644258163703922 T7w7I` 6423039644205986569 -306983412596092021070184795442876755362 242230862938946379224672657123458362065',gssb_commit_addr,'',gssb_get_model,'',com_send_rpt,'1489131012991605801 8652125103113469280',obc_get_sensors,'',0,6.979234218597412,444020.0,10676.0
set_state,'15120900847908761348 InpY7TeV 1443112709',obc_get_time,';=0',com_get_config,'-193638271076476329105702176096599345655',drp_set_deployed,'1328595156720375902',com_send_rpt,' 17258391000233773515',0,7.016556739807129,444020.0,10616.0
gssb_msp_get_temp,'',obc_get_time,'-211845307424421959563968632794362914334',rw_set_speed,'221463895826302335333290468439415999526 -1008511992',gssb_reset,'',com_debug,'',0,6.972275972366333,444020.0,10904.0
obc_get_mem,'',obc_ident,'',fp_set_cmd_dt,'85818103949515872069279174567386875897 4057816596482343270 -21165212580372315725602692984481056810 8221434663372685990 I',fp_del_cmd_unix,'-854772518',tm_send_status,'335546416630134017388910460515209289567',-6,6.326588869094849,444020.0,10724.0
tm_set_ack,'2724488601509655424 12544138956844710407',com_update_status,'',gssb_scan,'6074909769462167461 -203660847451842320158389013177893163886',gssb_reset,'',fp_del_cmd,'8245679446715036069 -7997253666649036159 4050611814386736276 310012117 2114452616040308116 Rs',0,7.036726951599121,444020.0,10608.0
