Command,Parameters,Command.1,Parameters.1,Command.2,Parameters.2,Command.3,Parameters.3,Command.4,Parameters.4,Exit Code,Total Time
rw_set_speed,'1547649292 295432305',fp_test_params,'6459372921512186649981627400754423453 HkX4rO-!x -878317491',fp_set_cmd_dt,'-1090311554645019751 -20975375550840850206226947619916508919 4919159686344809958 Ym+tlX -157418075317510723414597625643287677631',gssb_fss_commit_config,'',com_update_status,'',-6,6.488493919372559
com_set_node,'242574821407710091835006887014267610416',com_update_status,'',fp_set_cmd_unix,'-1204661733 1674789773 4766842703157784884 B:<>? 5388058748605048318',gssb_reset,'',gssb_get_version,'',-6,6.356913805007935
fp_set_cmd_dt,'1631195388 4770002614504058954 -1773252574 -3622268639935355756 -6580556978963550221',gssb_get_version,'',com_ping,'^l|%aJ',gssb_unlock_config,'{$',obc_reset_wdt,'',-6,6.268220663070679
fp_del_cmd_unix,'-574189937365170526',tm_parse_status,'',gssb_get_uuid,'',obc_reset_wdt,'',fp_set_cmd_unix,'8287916567097026639 7799347124943007066 -85444406305090142734770496029174720222 (! 3489574008486439753',-6,6.427311658859253
test,'129398085590568684495008072977326228624',gssb_arm_manual,'16083761057467471085',com_get_config,'-1952516130',fp_set_cmd_unix,'2923777865587729619 -2122809734426179816 5660857476010100424 'M4N)Tq 346297673',com_send_rpt,'rqY 2091416968563784498',-6,6.402174949645996
fp_show,'',fp_del_cmd_unix,'2129346909549606394',drp_add_hrs_alive,'',obc_update_tle,'',com_update_status,'',-6,6.934014558792113
gssb_burn,'',tm_send_status,'73278604456023577591550909175083857819',com_ping,'13581712825377890384',gssb_scan,'-8575749975711803158 -2868260762851586334',obc_update_tle,'',-6,6.361153841018678
test,'-273318585528523630162792043798867510009',gssb_arm_manual,'2504303104271572682',fp_del_cmd,'61011287192809288064905589658470733952 -179060220369870206844139488365934803065 -2762916500863584334 13001218725057245240 8461196858232452049 -131553125717769692277597779512770009889',obc_set_pwm_duty,'727732729 4501420289615527004',gssb_burn,'',-6,6.88056755065918
fp_set_cmd_unix,'633331967 87550275474939875635752015070134498311 -275088215 -239779995778094971453700976493612588283 7782471216454190346',com_get_node,'',com_update_status,'',gssb_arm_auto,'ob}1<G#M0l',com_send_tc,"'XW,}R 82009944298877911350681178989028176392'",-6,6.277112245559692
com_send_data,'50109475337593697154448464341667165476',com_send_tc,'1677208187 /',drp_set_var,'-483957505796708688 ',gssb_get_burn_config,'',obc_set_pwm_freq,'-908864275681440441 -7565091465232219248',-6,8.507464408874513
gssb_commit_addr,'',fp_reset,'',gssb_unlock_config,'16720415284289463593',drp_get_vars,'',com_send_tc,'-5260968860576422516 13049666293987243075',-6,7.550270318984985
tm_send_from,'11269205265668216660 4388068386299735188 1975002743',fp_set_cmd_unix,"'-2771999512121682397 79846751 0~& -1322085624047281914 ,%^_7'r`w)'",rw_set_speed,'179331877661985224192587536689701772345 yh?',gssb_get_temp,'',fp_set_cmd,'193126906202508868309271094132857980389 -7008963670830990143 -285571340054464204823475831531433763616 -232253942212187637156417811719032610511 7077775858325329013 -163829798849656259408919714417750282344 191105113584319961391492201134644093548 420819596 -11975887223786994424430973034637442437 10037086363623222895',-6,6.295082330703735
obc_update_status,'',obc_debug,'',rw_get_current,'',obc_update_tle,'',tm_send_status,'259156883667376627720238748905638897979',-6,6.519969940185548
gssb_get_model,'',com_send_data,'1860611323',com_send_tc,'122689810791118681014647130243454413075 -74438207609604779265920570934621360691',eps_hard_reset,'',gssb_unlock_config,'-3859493467617483634',-6,8.29851508140564
fp_del_cmd_unix,'3215034513628798116',com_send_cmd,'-25185091132029362389126956184542874983 -1509277240724656671',gssb_fss_set_config,'1510916959568215450',obc_reset_wdt,'',gssb_get_uuid,'',-6,6.540799379348755
com_send_cmd,'cN?I[Ux 1605149362078526899',fp_del_cmd_unix,'-240808624168524083282246491362999364170',gssb_unlock_config,'-9181658964320302418',gssb_antenna_release,'11826176399587076492 647732061 -174078691996718537410132866873214818078 8176021602722747152',eps_get_hk,'',-6,6.855906486511231
obc_get_time,'-123661492528250962590253716856337632130',com_send_tc,'14700732691319620783 12843957340435521567',obc_debug,'-4571870298683721418',gssb_get_temp,'',tm_send_all,'|+9DF 1373822292',-6,7.604822874069214
drp_clear_gnd_wdt,'',obc_prop_tle,'204791148',com_send_tc,'-1446965173112082738563695986799502366 XiR0r',gssb_commit_addr,'',fp_set_cmd_unix,'12263572509173638580 5907172473181356172 2055492073 -176917814906700340514906752844909967459 567406827',-6,7.7362732887268075
gssb_set_addr,'-1189748678',fp_set_cmd_unix,'4373950813413178861 17707657689493795689 -1954379782 945281315 ={w>2wD9PR',obc_debug,'Ero|eYS',gssb_fss_get_temp,'',eps_hard_reset,'',-6,6.285597562789918
gssb_antenna_release,'-213006938 784954767945718549 -660334860 6198874054372813790064030419282466067',gssb_select,'',gssb_get_uuid,'',fp_set_cmd_unix,'-1932883483506563376 5727323915480173178 -1357870479 6495920591484069993 -8115585082109043812',gssb_arm_auto,'-1290275144',-6,6.46256685256958
init_dummy_sensor,'',com_ping,'326254361688980371120069328622244231922',com_debug,'',tm_send_status,'-6877118974526212553',set_state,'3482858677613820274 109069072421958198475869166160883684610 y',-6,9.633554935455322
obc_update_tle,'',obc_set_tle,'-1249665749 -250444908341348564702137573981688908226',tm_send_from,'224265923740992640503002971406091023443 l 1187395032',fp_set_cmd_unix,'15723680516437693536 92271351713566310577368877374304839395 7766542890530608671 9175456362144158271 1192149130',eps_set_heater,'-4992783132532519770 {UAM#*',-11,6.770767688751222
tm_send_status,'1201401780',set_state,'-226053199232087058724684684863353164573  287748237331279069689769101120725317459',drp_add_hrs_alive,'266185691593111301677824876541928264825',tm_set_ack,' 1370641371179858500',obc_get_sensors,'',-6,6.593151807785034
fp_set_cmd_unix,'-999865253249917463 190908535922208558952179717510681905955 -1310802087 335428362012465882522485507072854036949 -334723500353694384574168657849638786003',gssb_burn,'',drp_ebf,'1873462675806167986',obc_get_sensors,'',tm_send_from,'[jG 167011466793733096983519885514458681899 -2976622549078169140',-6,6.241292715072633
com_update_status,'',tm_send_status,'-1077448837',tm_set_ack,'-1717092476 14402463348713668289',gssb_fss_get_sun,'',obc_set_tle,'4009074139239356691 :I+',-6,6.455023050308228
tm_set_ack,'-4360630975328665732 3693939583852668088',gssb_burn,'',com_send_data,'qew',gssb_get_status,'',fp_set_cmd_unix,'-298807323268335296075117847728669299487 -6456067352569723957 83688168265371928116767836987809678054 14674432003123243398 f{',-11,7.313275098800659
gssb_fss_get_sun,'',eps_set_heater,'8325094347486184789 JJ7]Z-j',com_send_tc,'5947646296450243466 7081120611584853860',obc_ident,'',com_reset_wdt,'$&zQlq',-6,7.61001706123352
gssb_arm_manual,'-259345153440302964879669819873285156048',drp_test_system_vars,'',obc_update_status,'',tm_send_status,'-2070311659',drp_ebf,'75384596573638891747812021609666967729',-6,10.179189205169678
com_send_tc,'-1253821177 -133909708',drp_add_hrs_alive,'-1643405608',com_send_tc,'/cAXp=q^ 7609468297963514381',drp_ebf,'-294103481596410059671640015224389589998',gssb_select,'6728958287666248116',-6,7.517754554748535
gssb_get_model,'',com_send_rpt,'-1245248143 -iQ}9',fp_del_cmd_unix,'',obc_set_tle,'2351160171314138238 -955539670',obc_prop_tle,'-1249207003392532517',-11,6.788405656814575
gssb_scan,'999928030 u;uyJgx&',eps_get_config,'',gssb_get_uuid,'',fp_del_cmd,'4485538998677228811 490145929708152895 2019904790797485738 5152569900581817882 29895510225421574588926520948906191363 427029676036320113',gssb_antenna_release,';yUO^e -1525743163 a 4245882432489792568',-6,6.40376877784729
gssb_fss_set_config,'-248305785508713205000740250888335550996',com_set_node,'12911876117247468835',gssb_msp_cal_temp,'1073637599660203758 336441746224571580291536842113384217844',tm_parse_status,'',fp_set_cmd_unix,'460328838868700648 10669672434221890769  13982975234073513978201688207055535045 306250373715043408465444727806945416524',-6,6.4954259395599365
gssb_commit_addr,'',com_get_config,'-5112615564937512312',obc_debug,'l&`N2;G7',fp_set_cmd_unix,"'18380774113058162500 15920837084868016454 4o<4x"".R -5780127014940664998 15449058029783682916'",gssb_set_burn_config,'182081204583076079644666633288325671428 4414277071461791172 169182831363611390088059584748545811799 -4375137131674101730 2695428360410024913 5038499134158472194 -110307582623631401314584481182663885369',-6,6.780957460403442
tm_send_status,'1154547261',gssb_get_version,'',obc_get_time,'3J(',com_send_rpt,'-101021451604100646482389218060541239510 -6490736376262566292',obc_get_mem,'',-6,6.514301061630249
obc_prop_tle,'183744106139921825468480427601784547223',obc_update_status,'',fp_del_cmd_unix,'15765084301609623621',gssb_unlock_config,'919417291',gssb_pwr,'51777632474533884805627372553685129058 -130508076',-6,7.2483675479888925
com_set_node,'_]wUE',com_send_data,'-1013763440188099441',drp_set_deployed,'-106475951',fp_set_cmd_dt,"'-7887673619891080879 3920450983147592307 1778299620033289343 926734477950904625 jNqHvc""r%'",fp_set_cmd_dt,'1220462507098873000 16080498761455917765 dsoTvb -337289016155630375643866326470782654129 6741083536051972731',-11,7.30513072013855
obc_ident,'',gssb_msp_get_temp,'',drp_clear_gnd_wdt,'',fp_set_cmd_unix,'1568008865412795281 -1503456344 -1639344595 1995239192 263358264610042584519926540734115498482',gssb_set_burn_config,"'-889730531 585410496060499523 -318523103629391768985763041275134987638 -308135237787438486281898111444975770350 MF2,>-E 14605983902396562682496674016055438369 485476938024330464'",-11,6.508594512939452
tm_parse_status,'',obc_debug,'-4833455452950247132',com_send_tc,'176857429996563353936257078582548994260 3436711233543028816',fp_set_cmd,'8969169899416166317 -6686016166908801321 -8842895098197711432 -992651476 -1513629569  -248802188565313346366544393021522544195 -1303319083 -4913292080244283867 {C.$-mcYZy',gssb_set_burn_config,'=uEJ 4019861396307806238 -2421477684267175609 30957540668237731012870882077596141639 -2679568275743663653 -987195246 Tv]`!{0',-6,7.385293006896973
tm_send_last,'-1337202660 1116616776242210703656855004288322256',gssb_update_status,'',gssb_set_addr,'-55946207008126921002599210339710818262',tm_send_status,'-6981660711300995250',obc_update_status,'',-6,7.152060031890869
com_update_status,'',fp_reset,'',gssb_get_temp,'',tm_send_status,'3404149231386810159',test,'315765601321526736',-6,7.952893257141112
gssb_get_model,'',com_send_tc,'548577886 1141037820152820061',fp_set_cmd_dt,'5852778593424021500  -291968797342305115156341459853333587517 6721551799693385248 48075804405850985157283265486349390740',obc_set_pwm_freq,'7720575018382820659 g}J',obc_prop_tle,'150942811661072537665286613047013961239',-6,8.362645864486693
obc_prop_tle,'-208503985002468927316691484125933572927',gssb_set_addr,'5088423048582386384',fp_show,'',tm_send_status,'9q',eps_get_config,'',-6,6.870765447616577
com_send_tc,'10014272993526644912 `SAZD4jpK',fp_set_cmd,"'-1267225624 3356166362281139907 8329037979405747420 33593529154186370780798748055474565326 45094539226261416833598025963612766901 JtX qn@0a/y\""W 1743927699 2334761736759896286 j|in3jU'",gssb_get_temp_int,'',test,'2031801899',com_send_cmd,'129889637484836121289432498925726798264 25417971718192455261466439027099663615',-6,7.415117740631103
tm_send_all,'709338514 -6045557900522172529',fp_del_cmd_unix,'324593434007097490223599775641580033041',com_get_node,'',gssb_msp_cal_temp,'12140929003637016228 mi*UYgu',tm_send_all,'R 6190507336287299767',-6,6.314577102661133
gssb_get_version,'',fp_set_cmd,'%_ 10139327443439547708 qJ{@ t2Wd<GU -137817948149208915130534095293113885547 16172008134842469846 6369448962624802363417350846120648196 4953708820863410770 YRy'v!N 261977185803933496843470778636197789591',gssb_get_temp,'',com_send_tc,'-4086914483822500563 -68364145481527289691410196528911835186',init_dummy_sensor,'',-6,7.46408748626709
