Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
gssb_arm_auto,'237819537',eps_get_config,'',drp_test_system_vars,'',com_debug,'',obc_prop_tle,'4062435468811478936',fp_set_cmd,'648383416 -850085164 -823562492 1871217662 -1267290755 -1772171503 26519720 1079911640 *F_qFx Q',fp_del_cmd_unix,'1476561129',com_get_node,'',com_set_config,"'15"" $""ic*~.hbp'",obc_set_pwm_duty,'423799817 1017228025',-11,10.051818370819092,444020.0,10628.0
com_get_node,'',com_get_config,'',com_set_config,'3^B {:<DdD1<x}',fp_del_cmd,'-727957015 -1699906219 -1217076335 -582207053 -895678508 -1544394858',gssb_antenna_release,'-133008109 1505761250 -640436269 1478043399',com_ping,'-1649925742',gssb_fss_get_temp,'',set_state,'2473702954559815503 7043554579565165922 -83094300',gssb_fss_get_sun,'',com_send_tc,'-163832486 mW',-6,6.397262334823608,444020.0,10564.0
obc_set_tle,'1154330130 $ZxN%*DGN',fp_set_cmd_dt,'1561499831 -1967653027 470456816 &q@gMHS e',help,'',gssb_unlock_config,'1022999419',com_get_config,'H-&2O',com_get_config,'K<.',tm_send_all,'6988247222823488422 17359381773983299466',com_send_cmd,'-16998982 O4:!myLv4Y',rw_set_speed,'1887446097 -1829952824',com_send_cmd,'1131216857 *$J',-6,6.505755662918091,444020.0,10896.0
test,'',obc_update_tle,'',gssb_scan,'1566614669 665212824',tm_get_last,'3374402491473794854',gssb_get_burn_config,'',com_send_rpt,'-1949986103 J$9JPufd',gssb_set_addr,'641628416',tm_send_from,'6032316013882487176 17533894852379422837 17126422388002165820',tm_parse_status,'',drp_set_var,'913086971 1613403760',0,7.235438823699951,444020.0,10572.0
gssb_commit_addr,'',gssb_pwr,'1560438356 -9314427',com_debug,'',fp_test_params,'-470134748 ]E+o~'` 1235743483',gssb_get_uuid,'',eps_hard_reset,'',tm_send_from,'4976102353362417217 605595447671295543 18220302173615057',gssb_reset,'',drp_ebf,'603629078',obc_get_sensors,'',0,7.238823413848877,444020.0,10492.0
com_send_cmd,"'-1308481501 whg"")qr'",tm_send_all,'18121606739583825630 15146272914140768772',obc_update_tle,'',com_get_config,'',fp_set_cmd_dt,'-2141325 1265844045 1239268651 H MMd$',tm_send_status,'-456251684',drp_clear_gnd_wdt,'',obc_prop_tle,'2673214769296677308',drp_get_vars,'',com_send_data,"'_@>%'Q}E""W'",-11,7.330424070358276,444020.0,10820.0
gssb_get_temp,'',eps_get_hk,'',com_get_node,'',obc_debug,'-388033070',fp_del_cmd_unix,'-1044107430',set_state,'6794731601054394899 15869609258012896307 111061905',gssb_unlock_config,'1889063695',com_send_cmd,'-67804228 #',eps_get_config,'',tm_send_status,'1661064777',-6,6.531519889831543,444020.0,10476.0
drp_clear_gnd_wdt,'',drp_set_deployed,'2127081896',tm_send_all,'16975950687025025029 11608902466266284801',eps_hard_reset,'',fp_del_cmd_unix,'1675803893',drp_clear_gnd_wdt,'',gssb_fss_set_config,'1980340770',fp_set_cmd_dt,'433681314 597923333 -114930714 v?\WC~j j*UB4H5',help,'',fp_del_cmd_unix,'99681057',-6,6.642309904098511,444020.0,10556.0
eps_update_status,'',com_set_node,'292703381',fp_set_cmd_dt,'1491861328 -1527828770 354707925 :mh;POQW :R1Pgq1',fp_test_params,'-1934878466  -797914392',eps_get_hk,'',gssb_scan,'290020281 1713394907',drp_get_vars,'',fp_show,'',eps_get_hk,'',gssb_fss_get_temp,'',-6,6.404894113540649,444020.0,10620.0
com_send_rpt,'-745262024 Ko7Hh',fp_reset,'',obc_set_tle,'-673753391 MkYvML',obc_debug,'-961600269',tm_send_status,'418569967',com_send_tc,'-1945962221 sB#;',test,'|GxDZ7>K',set_state,'6813002131066209552 11923717756437608626 1683782416',gssb_scan,'229779469 -221357177',gssb_reset,'',-6,6.703978776931763,444020.0,10720.0
drp_ebf,'864642204',gssb_arm_auto,'-333636847',test,'%adSR=3Ex',com_send_cmd,'377542708 Xf/e',fp_set_cmd_dt,'-243563659 268185042 737849646 0n/ce#N @(}g~`~',gssb_get_model,'',obc_reset_wdt,'',gssb_fss_get_sun,'',gssb_msp_get_temp,'',com_get_node,'',0,7.307085037231445,444020.0,10840.0
